text,clean,label,sentiment,vader_compound,vader_pos,vader_neg,vader_pred
"Other reviewers here seem to think this is an awful film. That's simply not true and a little unfair.<br /><br />The acting is of a good quality and the direction moves on with a decent fluidity. I don't think there's anything wrong with the Tarantino-esquire way of interlocking stories together. Perhaps its just a new tool for directors to try. I thought it made the film much more interesting. Perhaps a few elements of the script need tightening, but that's about the only fault I can find. Nestor Cantillana gives a great performance as Sylvio, also Antonella Rios is stunning and worth the price of admission alone.",other reviewers here seem to think this is an awful film that s simply not true and a little unfair the acting is of a good quality and the direction moves on with a decent fluidity i don t think there s anything wrong with the tarantino esquire way of interlocking stories together perhaps its just a new tool for directors to try i thought it made the film much more interesting perhaps a few elements of the script need tightening but that s about the only fault i can find nestor cantillana gives a great performance as sylvio also antonella rios is stunning and worth the price of admission alone,1,positive,0.6788,0.133,0.102,positive
"""Saving Grace"" is never riotously funny, but it delivers quite a few good laughs and I enjoyed it to a significant degree. Brenda Blethyn is a fine actress, and does a good job at portraying widower Grace, who resorts to growing marijuana to pay off her massive debts. The supporting cast also does a fine job. French actor Tchecky Karyo has a funny little role. The premise alone is appealing. The idea of an over-the-hill woman growing and smoking pot sounds funny enough. And the film plays around with the premise wisely every now and then. Of course, there are flat moments, like one where two elderly women mistaken Grace's marijuana leaves for tea leaves and they start pulling childish antics at the store where they work. That was a mindless gag that didn't quite take off. The film's tone is downbeat and occasionally dull, but I got enough laughs to give this English import a recommendation. <br /><br />My score: 7 (out of 10)",saving grace is never riotously funny but it delivers quite a few good laughs and i enjoyed it to a significant degree brenda blethyn is a fine actress and does a good job at portraying widower grace who resorts to growing marijuana to pay off her massive debts the supporting cast also does a fine job french actor tchecky karyo has a funny little role the premise alone is appealing the idea of an over the hill woman growing and smoking pot sounds funny enough and the film plays around with the premise wisely every now and then of course there are flat moments like one where two elderly women mistaken grace s marijuana leaves for tea leaves and they start pulling childish antics at the store where they work that was a mindless gag that didn t quite take off the film s tone is downbeat and occasionally dull but i got enough laughs to give this english import a recommendation my score out of,1,positive,0.9772,0.25,0.135,positive
"This film, was one of my childhood favorites and I must say that, unlike some other films I liked in that period The Thief of Bagdad has held on to it's quality while I grew up. This is not merely a film to be enjoyed by children, it can be watched and enjoyed by adults as well. The only drawback there is, is that one can not see past the bad' effects (compared to the effects nowadays) like one could when one was a child. I remembered nothing of those effects, of course it had been about ten years since I'd seen this film, when I was about eleven years old. Who then watches effects? One only seeks good stories and entertainment and this is exactly what this film provides. In my mind this film is one of the first great adventure films of the 20th century. Coming to think of it I feel like the Indiana Jones films are quite a like this film. There is comedy, romance and adventure all in one, which creates a wonderful mixture that will capture you from the beginning until the end and although the film is old and the music and style of the films is clearly not modern, it succeeds in not being dusty and old. All of that is mainly due to the great story, the good directing and the good acting performances of the actors. In that department Sabu (as Abu) and Conrad Veidt (as Jaffar) stand out, providing the comedic and the chilling elements of the film for the most part. Great film and although an 'oldie', definitely a goldie'. I hope someone has the brain and guts to release this one on DVD someday.<br /><br />8 out of 10",this film was one of my childhood favorites and i must say that unlike some other films i liked in that period the thief of bagdad has held on to it s quality while i grew up this is not merely a film to be enjoyed by children it can be watched and enjoyed by adults as well the only drawback there is is that one can not see past the bad effects compared to the effects nowadays like one could when one was a child i remembered nothing of those effects of course it had been about ten years since i d seen this film when i was about eleven years old who then watches effects one only seeks good stories and entertainment and this is exactly what this film provides in my mind this film is one of the first great adventure films of the th century coming to think of it i feel like the indiana jones films are quite a like this film there is comedy romance and adventure all in one which creates a wonderful mixture that will capture you from the beginning until the end and although the film is old and the music and style of the films is clearly not modern it succeeds in not being dusty and old all of that is mainly due to the great story the good directing and the good acting performances of the actors in that department sabu as abu and conrad veidt as jaffar stand out providing the comedic and the chilling elements of the film for the most part great film and although an oldie definitely a goldie i hope someone has the brain and guts to release this one on dvd someday out of,1,positive,0.9962,0.221,0.021,positive
"I like this episode quite a bit, Ruth Gordon is good if not a little hammy as she always was. As has been stated, the music is very good, and it has a moodiness that doesn't exist in all episodes.<br /><br />But one major plot hole exists, so wide you can drive a fleet of trucks through it. It is established that the light doesn't work in the vault. Don't you think that the very intelligent Columbo or the rest of the police would have thought to check if the light bulb worked? You'd think in pretty short order they would have unscrewed the bulb and so found the note. Granted this is TV whodunit fiction, and various holes will always be found, but this seems much too glaring.<br /><br />It really doesn't make Columbo out to be the hidden genius when the light doesn't work but the ""death bed"" testimony goes on unfound, apparently for days.",i like this episode quite a bit ruth gordon is good if not a little hammy as she always was as has been stated the music is very good and it has a moodiness that doesn t exist in all episodes but one major plot hole exists so wide you can drive a fleet of trucks through it it is established that the light doesn t work in the vault don t you think that the very intelligent columbo or the rest of the police would have thought to check if the light bulb worked you d think in pretty short order they would have unscrewed the bulb and so found the note granted this is tv whodunit fiction and various holes will always be found but this seems much too glaring it really doesn t make columbo out to be the hidden genius when the light doesn t work but the death bed testimony goes on unfound apparently for days,1,positive,0.0891,0.07,0.043,positive
"I saw this jolly little film at age 10/11 in 1979 when it was broadcast on CBS. I didn't know it had been in a theater at all. To rate it from a kids point of view I'd give it 4 out of 5 stars,because being a young boy at the time,it seemed a little ""girlish"".<br /><br />The climactic scene where Gazooks tickles the daylights out of everyone was a bit disturbing at the time but you outgrow that sort of thing. <br /><br />When I re-discovered it a Blockbuster Video in 1995,I had to revisit it! I still liked it despite the fact that it looked a bit ""old"". I don't know where the other reviewer on here got the idea that it wasn't on VHS.<br /><br />It's out there. Might even be on DVD by now,at least I hope it is. I want to share it with my kids someday! 10 stars on here,it's still a great kids film. (end)<br /><br />09/08/2009 : Finally found a VHS copy!! Woo-hoo!",i saw this jolly little film at age in when it was broadcast on cbs i didn t know it had been in a theater at all to rate it from a kids point of view i d give it out of stars because being a young boy at the time it seemed a little girlish the climactic scene where gazooks tickles the daylights out of everyone was a bit disturbing at the time but you outgrow that sort of thing when i re discovered it a blockbuster video in i had to revisit it i still liked it despite the fact that it looked a bit old i don t know where the other reviewer on here got the idea that it wasn t on vhs it s out there might even be on dvd by now at least i hope it is i want to share it with my kids someday stars on here it s still a great kids film end finally found a vhs copy woo hoo,1,positive,0.9584,0.13,0.031,positive
"A realistic depiction of young love for the college set but also appealing to an older viewer like me. It has ups and downs and twists and turns and made me shed a tear or two. We rarely see movies with black urban characters that could appeal to older, non black audiences and show a more real life depiction of young black adults.<br /><br />This movie takes place on a college campus and town where two people meet and fall in love. In the background are various friends acquaintances and situations that impact them for better or worse. Typical plot some may say, but this really was unexpected. <br /><br />I found myself rooting for the survival of the couple's relationship, seeing my own past in their story. Moments of deep thought and revelation came pouring out of the actors performances. <br /><br />It's a bright film that I would endorse for those young at heart and in love or have ever been in love. Great movie. I'll be looking for a copy to add to my movie collection.",a realistic depiction of young love for the college set but also appealing to an older viewer like me it has ups and downs and twists and turns and made me shed a tear or two we rarely see movies with black urban characters that could appeal to older non black audiences and show a more real life depiction of young black adults this movie takes place on a college campus and town where two people meet and fall in love in the background are various friends acquaintances and situations that impact them for better or worse typical plot some may say but this really was unexpected i found myself rooting for the survival of the couple s relationship seeing my own past in their story moments of deep thought and revelation came pouring out of the actors performances it s a bright film that i would endorse for those young at heart and in love or have ever been in love great movie i ll be looking for a copy to add to my movie collection,1,positive,0.9921,0.209,0.02,positive
"The group of people are travelling to Belgrade in an awful bus led by a drunk conductor and his dumb son (who likes to drive with his eyes closed). Their journey is frequently interrupted by many hilarious events which with much irony describe the fall of nation`s spirit in 1941 and are so funny that they are even today used as a common jokes. The man who ""steals the show"" is a peasant 4 feet tall with his 4 sons who are almost two times bigger than him. In the end, the movie takes one dramatical turn and the trip becomes nothing but a swan`s song of a dying country.",the group of people are travelling to belgrade in an awful bus led by a drunk conductor and his dumb son who likes to drive with his eyes closed their journey is frequently interrupted by many hilarious events which with much irony describe the fall of nation s spirit in and are so funny that they are even today used as a common jokes the man who steals the show is a peasant feet tall with his sons who are almost two times bigger than him in the end the movie takes one dramatical turn and the trip becomes nothing but a swan s song of a dying country,1,positive,-0.1851,0.08,0.096,negative
"So wonderful, so quirky, so romantic, so Italian. The film is so feather -light you float off into its refracted reality and you never want to return to the humdrum again. A kitchen sink world of bakeries, and hairdressers, and plumbing, but one that shimmers with a soft luminescence. Should the credit go to the screenplay or the direction? Take your pick -- they're both faultless. Let me get back to that New York City that lies just beyond the looking glass.",so wonderful so quirky so romantic so italian the film is so feather light you float off into its refracted reality and you never want to return to the humdrum again a kitchen sink world of bakeries and hairdressers and plumbing but one that shimmers with a soft luminescence should the credit go to the screenplay or the direction take your pick they re both faultless let me get back to that new york city that lies just beyond the looking glass,1,positive,0.8174,0.135,0.053,positive
"Going for something far away from the deliberately gross stuff that he usually makes, John Waters (happy birthday, John!) made this parody of the celebrity/art world. Edward Furlong plays the title character, a working-class teenager in Baltimore who loves to photograph things. When a New York agent (Lili Taylor) discovers his work, she offers him his big break, which he accepts. But once he hits it big, he has to reconsider everything.<br /><br />Basically, ""Pecker"" looks at how he loses his friends and his normal life once he becomes a celebrity. The sort of thing that we might expect, sure, but with Waters directing, there's always a few things to shock us (you'll know them when you see them). I certainly recommend it. Also starring Christina Ricci, Mink Stole and Patty Hearst.",going for something far away from the deliberately gross stuff that he usually makes john waters happy birthday john made this parody of the celebrity art world edward furlong plays the title character a working class teenager in baltimore who loves to photograph things when a new york agent lili taylor discovers his work she offers him his big break which he accepts but once he hits it big he has to reconsider everything basically pecker looks at how he loses his friends and his normal life once he becomes a celebrity the sort of thing that we might expect sure but with waters directing there s always a few things to shock us you ll know them when you see them i certainly recommend it also starring christina ricci mink stole and patty hearst,1,positive,0.8702,0.133,0.058,positive
"My Super Ex-Girlfriend is an entertaining movie no more no less. <br /><br />The story is quiet simple. Matt Saunders(Luke Wilson) meets Jenny(Uma Thurman) on the subway and hooks up with her. In the beginning of their relationship everything seems to be OK, but then Matt finds out that she's G-Girl. At first that seems really cool to Matt but it turns out that G-Girl is very jealous and needy. So he decides to break up with her and hook up with his colleague Hannah(Anna Faris). This makes G-Girl very mad and she starts to avenge herself on her former boyfriend.<br /><br />What I liked most in the movie are the scenes where G-Girl avenges herself on Matt. It was also nice to see Anna Faris in another role then her character from the Scary Movie saga.<br /><br />I give this movie a 7 out of 10 and recommend it to anybody who likes a nice comedy.",my super ex girlfriend is an entertaining movie no more no less the story is quiet simple matt saunders luke wilson meets jenny uma thurman on the subway and hooks up with her in the beginning of their relationship everything seems to be ok but then matt finds out that she s g girl at first that seems really cool to matt but it turns out that g girl is very jealous and needy so he decides to break up with her and hook up with his colleague hannah anna faris this makes g girl very mad and she starts to avenge herself on her former boyfriend what i liked most in the movie are the scenes where g girl avenges herself on matt it was also nice to see anna faris in another role then her character from the scary movie saga i give this movie a out of and recommend it to anybody who likes a nice comedy,1,positive,0.8715,0.165,0.107,positive
"Cannot believe my eyes when read quite a bunch of other comments and reviews. As if it were a mediocre movie of some run-of-the-mill dudes.<br /><br />The movie is great, funny, crazy, over-the-top violent though with minimum gore, and all the way energetic to the core. Loved every single bit of it. Can't remember anything insane like this made for laughs and martial art showing off. And now the most important thing (at least to me): it is computer effects free. When I watch some Hollywood actors duking it out on screen in modern high-resolution and damn high-budgeted action ""fuflo"" (a Russian word that means ""bull*beep*""), I understand that any *beep* child can do it - you can adjust the wires to the body, add some cute PC effects, and stuff it into the action film. Here it is different. I don't think that there will be even a dozen of physically advanced action stars worldwide, who can repeat the brawl that takes place at the end of the film or the ""Chinese football"" play. And it is just a little Hong Kong cinema made for fun, not pretending to be ""Star Wars"".<br /><br />Having a DVD with English soundtrack is not a problem with this movie. It does not spoil the atmosphere to me.<br /><br />Can't help mentioning a very neat theatrical play. Some of you, suppose, won't like it. As to me - it's amazing. Have a look at the Dragon's friend who is talking in a brave manner to the criminals and all of a sudden gets a fist punch in his left side of the head. His face expression changes into something whimsical and he comes up to Dragon with a baby expression. And take a look at the menacing size of his mouth - it's nearly from one ear to the other long when he makes grimaces.<br /><br />This movie deserves a higher rating and a thousand comments from people all over the world. Very thankful to our Russian industry for the releases of classic Jackie Chan movies. His modern ones are much weaker in my humble opinion and do not deserve much hype.<br /><br />Total 10 out of 10 - a legendary movie in its genre. Thank you for attention.",cannot believe my eyes when read quite a bunch of other comments and reviews as if it were a mediocre movie of some run of the mill dudes the movie is great funny crazy over the top violent though with minimum gore and all the way energetic to the core loved every single bit of it can t remember anything insane like this made for laughs and martial art showing off and now the most important thing at least to me it is computer effects free when i watch some hollywood actors duking it out on screen in modern high resolution and damn high budgeted action fuflo a russian word that means bull beep i understand that any beep child can do it you can adjust the wires to the body add some cute pc effects and stuff it into the action film here it is different i don t think that there will be even a dozen of physically advanced action stars worldwide who can repeat the brawl that takes place at the end of the film or the chinese football play and it is just a little hong kong cinema made for fun not pretending to be star wars having a dvd with english soundtrack is not a problem with this movie it does not spoil the atmosphere to me can t help mentioning a very neat theatrical play some of you suppose won t like it as to me it s amazing have a look at the dragon s friend who is talking in a brave manner to the criminals and all of a sudden gets a fist punch in his left side of the head his face expression changes into something whimsical and he comes up to dragon with a baby expression and take a look at the menacing size of his mouth it s nearly from one ear to the other long when he makes grimaces this movie deserves a higher rating and a thousand comments from people all over the world very thankful to our russian industry for the releases of classic jackie chan movies his modern ones are much weaker in my humble opinion and do not deserve much hype total out of a legendary movie in its genre thank you for attention,1,positive,0.9925,0.163,0.047,positive
"I've heard nothing but great things about the 2006 television mini-series, ""Planet Earth,"" narrated by my childhood idol David Attenborough. Nevertheless, whether it was screened down here in Australia or not, I never caught up with it, and when I happened upon the opportunity to see 'Earth (2007)'  a feature-length compilation of the same nature footage  on the big screen, I jumped at the chance. The theatre was basically empty; just one other patron sat in the row ahead of me, and it was as though I had, not only the big screen to myself, but, indeed, the entire planet Earth. For 90 minutes, I was lowered into the beauty and perils of the isolated wilderness, amongst some of the most beautiful living creatures ever captured on film. Awesome in its scope, and yet painfully intimate at times, 'Earth' is a heartfelt plea from the filmmakers to recognise the delicate balance of life on our planet, and how the intrusion of humans has placed countless glorious animal and plant species on the brink of extinction.<br /><br />Though the film, directed by Alastair Fothergill and Mark Linfield, obviously argues for the conservation of the wilderness, it refrains from beating us over the head with propaganda, and the puzzle that is politics is ignored altogether; indeed, there is not a human in sight. Instead, we are simply taken on a breathtaking journey into the majesty of the natural world, to experience the resilience, and also the fragility, of life on Earth. I hear that the original mini-series, which ran for eleven episodes, delves a lot deeper into the scientific background of world ecosystems, but I think that, here, the filmmakers made a wise decision to replace information with emotional impact: I can't remember the last time that I felt so inspired, and yet utterly heartbroken at the same time. By establishing an emotional link between the audience and a select few individual animals, anthropomorphising them to an extent, we are suddenly able to appreciate the ""human side"" of each species, and their hopeless plight for survival becomes less a statistic and more an unacceptable tragedy.<br /><br />'Earth' is basically comprised of a selection of dramatic episodes, whether it be the struggles of a female polar bear to lead her young cubs to the Arctic ice, or the tramp of an elephant herd towards the life-saving seasonal floodwaters of the Okavango Delta. The documentary demonstrates the delicate balance between life and death, most heartbreakingly exhibited in the desperate ballet of predator-prey interactions. Though occasionally, perhaps to cater towards a younger audience, the footage cuts itself short at the crucial moment, I regularly shed at tear at the inevitability of death in nature, and the raw instinct that fuels these animals' final, hopeless efforts at survival. There's even a haunting beauty to be found in the hunt, both in the slow-motion footage of a cheetah bringing down its prey {the result of a single fateful misstep}, or the majestic mid-air leap of a Great White Shark as it engulfs a hapless sea lion. It is this frail balance that has been fatally disrupted by the selfishness of our own species.<br /><br />Aside from these main stories, we are also treated to brief snippets of wildlife from around the world, including the birds of paradise of Papua New Guinea, and the autumn migration of the demoiselle cranes. Of course, entire films might have been dedicated to these species alone, and an inevitable consequence of having to sift through so much footage is that some interesting ecosystems are glossed over far took quickly. By choosing to focus most closely on the polar bear, elephant and humpback whale  tracing their lifestyles, via some astonishing high-definition time-lapse photography, throughout a calender year  the filmmakers were able to avoid any structural problems that might arise from having so much to show, and only 90 minutes to show it. Consequently, 'Earth' left me thirsting for more, and, fortunately, I now have approximately eleven hours more, as soon as I can track down a copy of the DVD box-set for ""Planet Earth."" Uplifting and tear-jerking, awe-inspiring and heartrending, 'Earth' is a truly magnificent documentary experience, and it might just be my favourite film of 2007.",i ve heard nothing but great things about the television mini series planet earth narrated by my childhood idol david attenborough nevertheless whether it was screened down here in australia or not i never caught up with it and when i happened upon the opportunity to see earth a feature length compilation of the same nature footage on the big screen i jumped at the chance the theatre was basically empty just one other patron sat in the row ahead of me and it was as though i had not only the big screen to myself but indeed the entire planet earth for minutes i was lowered into the beauty and perils of the isolated wilderness amongst some of the most beautiful living creatures ever captured on film awesome in its scope and yet painfully intimate at times earth is a heartfelt plea from the filmmakers to recognise the delicate balance of life on our planet and how the intrusion of humans has placed countless glorious animal and plant species on the brink of extinction though the film directed by alastair fothergill and mark linfield obviously argues for the conservation of the wilderness it refrains from beating us over the head with propaganda and the puzzle that is politics is ignored altogether indeed there is not a human in sight instead we are simply taken on a breathtaking journey into the majesty of the natural world to experience the resilience and also the fragility of life on earth i hear that the original mini series which ran for eleven episodes delves a lot deeper into the scientific background of world ecosystems but i think that here the filmmakers made a wise decision to replace information with emotional impact i can t remember the last time that i felt so inspired and yet utterly heartbroken at the same time by establishing an emotional link between the audience and a select few individual animals anthropomorphising them to an extent we are suddenly able to appreciate the human side of each species and their hopeless plight for survival becomes less a statistic and more an unacceptable tragedy earth is basically comprised of a selection of dramatic episodes whether it be the struggles of a female polar bear to lead her young cubs to the arctic ice or the tramp of an elephant herd towards the life saving seasonal floodwaters of the okavango delta the documentary demonstrates the delicate balance between life and death most heartbreakingly exhibited in the desperate ballet of predator prey interactions though occasionally perhaps to cater towards a younger audience the footage cuts itself short at the crucial moment i regularly shed at tear at the inevitability of death in nature and the raw instinct that fuels these animals final hopeless efforts at survival there s even a haunting beauty to be found in the hunt both in the slow motion footage of a cheetah bringing down its prey the result of a single fateful misstep or the majestic mid air leap of a great white shark as it engulfs a hapless sea lion it is this frail balance that has been fatally disrupted by the selfishness of our own species aside from these main stories we are also treated to brief snippets of wildlife from around the world including the birds of paradise of papua new guinea and the autumn migration of the demoiselle cranes of course entire films might have been dedicated to these species alone and an inevitable consequence of having to sift through so much footage is that some interesting ecosystems are glossed over far took quickly by choosing to focus most closely on the polar bear elephant and humpback whale tracing their lifestyles via some astonishing high definition time lapse photography throughout a calender year the filmmakers were able to avoid any structural problems that might arise from having so much to show and only minutes to show it consequently earth left me thirsting for more and fortunately i now have approximately eleven hours more as soon as i can track down a copy of the dvd box set for planet earth uplifting and tear jerking awe inspiring and heartrending earth is a truly magnificent documentary experience and it might just be my favourite film of,1,positive,0.6571,0.119,0.117,positive
"Italy produced a lot of really great and original horror films in the 1960's - and this is certainly one of them! The first thing you will notice about Danse Macabre is the style of the film. Shot in beautiful black and white, and due to director Antonio Margheriti's use of lighting; the film almost looks like it could be a German expressionistic horror film. This, coupled with the horror-filled plot line ensures that Danse Macabre is a film that truly captures the essence of horror. Of course, the fact that the beautiful Barbara Steele appears in the film doesn't harm matters - and the good news continues as, in this film, she gets to flex her acting muscles more than she did in the films that made her famous. The plot is very aware of the time in which this was released, and so incorporates the great Edgar Allen Poe. We follow Alan Foster, a writer who accepts a bet from Poe himself and Lord Blackwood that he can't spend an entire night in the latter's creepy old castle. Everyone that has spent the night there previously has died...and our hero is about to meet the previous wager-takers! <br /><br />Nowadays, horror films don't tend to focus so much on each shot and the result is that there isn't much beauty left in the genre. It is refreshing, therefore, to see this film. Many of the shots here are incredibly beautiful - from the female side of the couple wearing just a see-through skirt, to my personal favourite - a shot of smoke creeping in from under a door. This my first Antonio Margheriti film, and even after seeing just this one; it's obvious that he was one of Italy's premier directors. Also interesting is the fact that screenplay was co-written by another of the Italian greats; Django creator Sergio Corbucci. The plot can meander a little too much at times, but there's always enough atmosphere on hand to make sure that the film never becomes boring - and the fact that it is always intriguing, even when the plot slows down, ensures the same thing. The way that Danse Macabre utilises the 'haunted house' theme is both well done and original, and helps to keep the story as eerie as possible. On the whole, fans of Italian and/or cult cinema will not want to miss this little gem!",italy produced a lot of really great and original horror films in the s and this is certainly one of them the first thing you will notice about danse macabre is the style of the film shot in beautiful black and white and due to director antonio margheriti s use of lighting the film almost looks like it could be a german expressionistic horror film this coupled with the horror filled plot line ensures that danse macabre is a film that truly captures the essence of horror of course the fact that the beautiful barbara steele appears in the film doesn t harm matters and the good news continues as in this film she gets to flex her acting muscles more than she did in the films that made her famous the plot is very aware of the time in which this was released and so incorporates the great edgar allen poe we follow alan foster a writer who accepts a bet from poe himself and lord blackwood that he can t spend an entire night in the latter s creepy old castle everyone that has spent the night there previously has died and our hero is about to meet the previous wager takers nowadays horror films don t tend to focus so much on each shot and the result is that there isn t much beauty left in the genre it is refreshing therefore to see this film many of the shots here are incredibly beautiful from the female side of the couple wearing just a see through skirt to my personal favourite a shot of smoke creeping in from under a door this my first antonio margheriti film and even after seeing just this one it s obvious that he was one of italy s premier directors also interesting is the fact that screenplay was co written by another of the italian greats django creator sergio corbucci the plot can meander a little too much at times but there s always enough atmosphere on hand to make sure that the film never becomes boring and the fact that it is always intriguing even when the plot slows down ensures the same thing the way that danse macabre utilises the haunted house theme is both well done and original and helps to keep the story as eerie as possible on the whole fans of italian and or cult cinema will not want to miss this little gem,1,positive,0.9773,0.119,0.05,positive
"This is, in my opinion, a very good film, especially for Michael Jackson lovers. It contains a message on drugs, stunning special effects, and an awesome music video.<br /><br />The main film is centered around the song and music video 'Smooth Criminal.' Unlike the four-minute music video, it is normal speed and, in my opinion, much easier to watch.<br /><br />The plot is rather weird, however. Michael Jackson plays a magical 'gangster' that, when he sees a shooting star, he transforms into a piece of machinery. Throughout the film, he transforms into a race car, a giant robot, and a space ship.<br /><br />The robot scene in particular is a bit drawn out and strange. I found it a little out-of-whack compared to the rest of the film.<br /><br />A child is kidnapped, Michael tries to save her, is tortured and beaten, and suddenly turns into a giant robot that blows up all the bad guys. A little weird? Yeah.<br /><br />But besides the bizarre robot scene, it's a very good movie, and any Michael Jackson fan will enjoy both the Smooth Criminal music video and the movie.",this is in my opinion a very good film especially for michael jackson lovers it contains a message on drugs stunning special effects and an awesome music video the main film is centered around the song and music video smooth criminal unlike the four minute music video it is normal speed and in my opinion much easier to watch the plot is rather weird however michael jackson plays a magical gangster that when he sees a shooting star he transforms into a piece of machinery throughout the film he transforms into a race car a giant robot and a space ship the robot scene in particular is a bit drawn out and strange i found it a little out of whack compared to the rest of the film a child is kidnapped michael tries to save her is tortured and beaten and suddenly turns into a giant robot that blows up all the bad guys a little weird yeah but besides the bizarre robot scene it s a very good movie and any michael jackson fan will enjoy both the smooth criminal music video and the movie,1,positive,0.9167,0.157,0.1,positive
"This is undeniably the scariest game I've ever played. It's not the average shoot-everything-that-moves kind of fps (which I usually don't care much for), but the acceptable gfx, interesting weapons and magic, great surround soundeffects (""Scryeeee, scryeeee.."") and above all incredible atmosphere. I love the Scrye, which enables you, at certain places in the games, to see or hear events that happened there in the past. The only game I've had to take regular breaks after a few minutes of playing just because of the intensity of the atmosphere. I'm a great horror fan, escpecially of Clive Barker's stories and movies, and participating in a horror story like this makes me yearn for more games that emphasizes atmosphere and a more involving story. 9/10 (-1 because I'm no fps fan, and perhaps the game was a bit short?)",this is undeniably the scariest game i ve ever played it s not the average shoot everything that moves kind of fps which i usually don t care much for but the acceptable gfx interesting weapons and magic great surround soundeffects scryeeee scryeeee and above all incredible atmosphere i love the scrye which enables you at certain places in the games to see or hear events that happened there in the past the only game i ve had to take regular breaks after a few minutes of playing just because of the intensity of the atmosphere i m a great horror fan escpecially of clive barker s stories and movies and participating in a horror story like this makes me yearn for more games that emphasizes atmosphere and a more involving story because i m no fps fan and perhaps the game was a bit short,1,positive,0.9672,0.227,0.107,positive
"no movie with dennis hopper, gary busey, erika eleniak, tom berenger, dean stockwell, marilu henner deserves a rating under 5 on here. This is a poor mans version of movies like 16 blocks or the timeless Midnight run except the prisoner being transported here is the very easy on the eye Ms.Eleniak. Tom Berenger plays another gruff, maverick military type well and William Mcnamara plays his rookie-about to be discharged foil well. The plot on the face of it is absurd because I lost count of the times Eleniak should have and could have escaped but this is an entertaining feel-good movie and there are good cameos from all of the above actors that keep the movie rolling. This isn't really a family movie as there is some swearing and a rare nude scene with eleniak but this is a lot better than some of the other guff that came out around this time.",no movie with dennis hopper gary busey erika eleniak tom berenger dean stockwell marilu henner deserves a rating under on here this is a poor mans version of movies like blocks or the timeless midnight run except the prisoner being transported here is the very easy on the eye ms eleniak tom berenger plays another gruff maverick military type well and william mcnamara plays his rookie about to be discharged foil well the plot on the face of it is absurd because i lost count of the times eleniak should have and could have escaped but this is an entertaining feel good movie and there are good cameos from all of the above actors that keep the movie rolling this isn t really a family movie as there is some swearing and a rare nude scene with eleniak but this is a lot better than some of the other guff that came out around this time,1,positive,0.8749,0.13,0.07,positive
"The name of this film alone made me want to see just what it was all about, so I taped this film during the early hours of the AM. If you ever wanted to see what miners had to go through during the early days and actually see a dramatic scene when the mine crumbles in on the men. This film clearly wants to show that Germany and France can work together and be friends after WW I and how the Germans came to the aid of the French miners much to the unbelief of the French townsfolk. The actors were all outstanding, with unusual scenes in the mine with a horse and a small young boy who worked in the mine. There is an old old retired miner who manges to go down the mine by ladder when the elevator breaks down. If you are a real film buff, this is a film you will not want to miss.",the name of this film alone made me want to see just what it was all about so i taped this film during the early hours of the am if you ever wanted to see what miners had to go through during the early days and actually see a dramatic scene when the mine crumbles in on the men this film clearly wants to show that germany and france can work together and be friends after ww i and how the germans came to the aid of the french miners much to the unbelief of the french townsfolk the actors were all outstanding with unusual scenes in the mine with a horse and a small young boy who worked in the mine there is an old old retired miner who manges to go down the mine by ladder when the elevator breaks down if you are a real film buff this is a film you will not want to miss,1,positive,0.8703,0.086,0.012,positive
"John Thaw is a an excellent actor. I have to admit that I was impressed by his range in the role of a crusty old curmudgeon who reluctantly agrees to take in an evacuee from the streets of London (WWII time era).<br /><br />That being said, the film is also excellent. A very moving story with a satisfying ending. Some of the characters are a little underdeveloped (the school teacher in particular), but none of them are essential to the plot. Basically, the story is about the old man and the boy, and the film needs little else.",john thaw is a an excellent actor i have to admit that i was impressed by his range in the role of a crusty old curmudgeon who reluctantly agrees to take in an evacuee from the streets of london wwii time era that being said the film is also excellent a very moving story with a satisfying ending some of the characters are a little underdeveloped the school teacher in particular but none of them are essential to the plot basically the story is about the old man and the boy and the film needs little else,1,positive,0.81,0.119,0.012,positive
